K;Ca;Mg
156.4;3126.2400000000002;782.0
156.4;2244.48;690.0
156.4;2244.48;782.0
156.4;1883.7600000000002;828.0
156.4;1843.6799999999998;782.0
156.4;2204.4;736.0
156.4;2204.4;736.0
156.4;2004.0;598.0
156.4;2124.24;828.0
156.4;2164.32;782.0
156.4;2164.32;736.0
156.4;2084.1600000000003;782.0
156.4;2324.64;690.0
117.3;2765.5200000000004;920.0
101.66;2605.2000000000003;552.0
156.4;2124.24;598.0
156.4;2244.48;644.0
156.4;2484.96;690.0
156.4;2364.7200000000003;736.0
156.4;2084.1600000000003;644.0
156.4;2324.64;690.0
156.4;2284.56;736.0
156.4;2404.8;782.0
156.4;2044.08;644.0
156.4;2164.32;690.0
156.4;2204.4;874.0
156.4;2244.48;552.0
156.4;2284.56;690.0
234.6;2484.96;966.0
156.4;2204.4;690.0
156.4;2084.1600000000003;644.0
156.4;2404.8;690.0
234.6;1963.9200000000003;598.0
234.6;2444.88;782.0
156.4;2364.7200000000003;782.0
156.4;2084.1600000000003;736.0
234.6;2284.56;644.0
156.4;2444.88;782.0
156.4;2324.64;690.0
234.6;2204.4;782.0
265.88;2324.64;690.0
234.6;2124.24;736.0
234.6;2765.5200000000004;966.0
234.6;2324.64;782.0
156.4;2284.56;782.0
265.88;2324.64;644.0
234.6;1883.7600000000002;690.0
156.4;2484.96;736.0
234.6;2204.4;690.0
156.4;2324.64;644.0
156.4;2204.4;690.0
156.4;2404.8;644.0
156.4;2324.64;874.0
156.4;2204.4;690.0
156.4;2284.56;644.0
156.4;2404.8;690.0
234.6;2284.56;644.0
156.4;2284.56;690.0
156.4;2004.0;598.0
156.4;2044.08;690.0
156.4;2725.44;828.0
156.4;2444.88;690.0
234.6;2845.68;644.0
156.4;2244.48;874.0
