city;yr;mo;ET0_MES;1_6;7_13;14_16;17_20;21_24;25_27
Itariri;2016;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Itariri;2016;9;4.7130022970156915;3.81753186058271;5.749862802359144;5.7969928253293;4.194572044343966;4.4302221591947495;2.5450212403884738
Jacupiranga;2006;10;4.654287552661822;3.769972917656076;5.6782308142474225;5.724773689774041;4.142315921869022;4.375030299502113;2.5133152784373842
Jacupiranga;2006;11;5.652615976269662;4.578618940778427;6.896191491048988;6.952717650811684;5.03082821888;5.313459017693482;3.052412627185618
Jacupiranga;2006;12;5.860095611178448;4.746677445054543;7.149316645637706;7.20791760174949;5.215485093948819;5.508489874507741;3.164451630036362
Jacupiranga;2006;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2006;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2006;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2007;1;7.3022998447031675;5.914862874209566;8.908805810537864;8.981828808984895;6.4990468617858195;6.864161854020977;3.9432419161397108
Jacupiranga;2007;10;5.350001476559322;4.333501196013051;6.527001801402372;6.580501816167965;4.761501314137797;5.029001387965762;2.889000797342034
Jacupiranga;2007;11;4.799222175394763;3.887369962069758;5.855051053981611;5.903043275735558;4.271307736101339;4.511268844871077;2.5915799747131723
Jacupiranga;2007;12;6.105591337387227;4.945528983283654;7.448821431612417;7.509877344986289;5.433976290274632;5.739255857143993;3.2970193221891027
Jacupiranga;2007;2;5.881127745722005;4.763713474034825;7.1749758497808465;7.233787127238067;5.234203693692585;5.528260080978685;3.175808982689883
Jacupiranga;2007;3;5.1138259979824126;4.142199058365755;6.238867717538543;6.290005977518367;4.551305138204348;4.806996438103467;2.761466038910503
Jacupiranga;2007;4;3.545455775026187;2.8718191777712114;4.325456045531948;4.36091060328221;3.1554556397733062;3.3327284285246153;1.914546118514141
Jacupiranga;2007;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2007;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2007;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2007;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2007;9;4.445355535086873;3.600737983420367;5.423333752805985;5.467787308156853;3.9563664262273166;4.1786342029816606;2.4004919889469116
Jacupiranga;2008;1;4.965305936942482;4.02189780892341;6.057673243069828;6.107326302439253;4.419122283878809;4.667387580725933;2.6812652059489404
Jacupiranga;2008;10;4.496296124933932;3.641999861196485;5.485481272419396;5.530444233668736;4.001703551191199;4.226518357437896;2.4279999074643235
Jacupiranga;2008;11;5.274499282018678;4.27234441843513;6.434889124062788;6.487634116882974;4.6943043609966235;4.958029325097558;2.8482296122900865
Jacupiranga;2008;12;6.10252416693743;4.943044575219319;7.4450794836636645;7.506104725333039;5.431246508574313;5.736372716921184;3.2953630501462126
Jacupiranga;2008;2;5.271371322642172;4.269810771340159;6.4310730136234495;6.483786726849871;4.691520477151533;4.955089043283642;2.8465405142267732
Jacupiranga;2008;3;4.472359962882473;3.6226115699348034;5.456279154716618;5.501002754345442;3.980400366965401;4.204018365109524;2.4150743799565357
Jacupiranga;2008;4;3.389961679217115;2.7458689601658635;4.13575324864488;4.169652865437051;3.0170658945032325;3.186563978464088;1.8305793067772422
Jacupiranga;2008;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2008;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2008;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2008;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2008;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2009;1;5.241930267744652;4.245963516873169;6.395154926648476;6.447574229325922;4.66531793829274;4.927414451679973;2.8306423445821123
Jacupiranga;2009;10;4.5167553780060095;3.6585718561848677;5.510441561167331;5.555609114947392;4.019912286425348;4.245750055325649;2.439047904123245
Jacupiranga;2009;11;5.696588456565895;4.614236649818375;6.949837917010392;7.0068038015760505;5.069963726343646;5.3547931491719405;3.0761577665455833
Jacupiranga;2009;12;4.627794216593143;3.748513315440446;5.645908944243635;5.692186886409566;4.118736852767897;4.350126563597554;2.4990088769602976
Jacupiranga;2009;2;5.286998713483698;4.282468957921796;6.450138430450112;6.503008417584949;4.705428855000491;4.969778790674677;2.8549793052811974
Jacupiranga;2009;3;4.715544865583696;3.819591341122794;5.752964736012109;5.8001201846679455;4.196834930369489;4.432612173648674;2.546394227415196
Jacupiranga;2009;4;3.6749212199700905;2.9766861881757736;4.48340388836351;4.520153100563212;3.2706798857733808;3.454425946771885;1.984457458783849
Jacupiranga;2009;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2009;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2009;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2009;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2009;9;3.5797079653548582;2.8995634519374356;4.367243717732927;4.403040797386476;3.185940089165824;3.3649254874335663;1.9330423012916236
Jacupiranga;2010;1;8.177251759097425;6.623573924868914;9.976247146098858;10.058019663689832;7.277754065596708;7.686616653551579;4.4157159499126095
Jacupiranga;2010;10;2.1903342063931888;1.774170707178483;2.6722077317996904;2.6941110738636223;1.949397443689938;2.058914154009597;1.182780471452322
Jacupiranga;2010;11;6.500913381610094;5.265739839104177;7.931114325564315;7.996123459380416;5.785812909632984;6.110858578713488;3.510493226069451
Jacupiranga;2010;12;5.5867864677592545;4.525297038884997;6.8158794906662905;6.871747355343883;4.972239956305737;5.251579279693699;3.016864692589998
Jacupiranga;2010;2;6.844496531297921;5.544042190351316;8.350285768183463;8.418730733496442;6.0916019128551495;6.433826739420045;3.6960281269008775
Jacupiranga;2010;3;6.488865377259598;5.255980955580275;7.91641576025671;7.981304414029306;5.775090185761043;6.099533454624022;3.503987303720183
Jacupiranga;2010;4;4.974509335738307;4.029352561948029;6.068901389600734;6.118646482958117;4.4273133088070935;4.676038775594008;2.6862350412986857
Jacupiranga;2010;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Jacupiranga;2010;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN
