city;yr;mo;da;latitude;prcp_dia;tmax;tmin;med_temp
Barra do Turvo;2009;1;13;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;14;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;15;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;16;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;17;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;18;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;19;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;2;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;20;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;21;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;22;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;23;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;24;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;25;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;26;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;27;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;28;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;29;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;3;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;30;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;31;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;4;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;5;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;6;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;7;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;8;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;1;9;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;1;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;10;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;11;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;12;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;13;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;14;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;15;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;16;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;17;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;18;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;19;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;2;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;20;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;21;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;22;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;23;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;24;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;25;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;26;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;27;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;28;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;29;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;3;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;30;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;31;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;4;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;5;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;6;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;7;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;8;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;10;9;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;1;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;10;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;11;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;12;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;13;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;14;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;15;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;16;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;17;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;18;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;19;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;2;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;20;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;21;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;22;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;23;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;24;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;25;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;26;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;27;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;28;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;29;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;3;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;30;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;4;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;5;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;6;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;7;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;8;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;11;9;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;12;1;24;24.4;21.1;0.0;3.4250000000000003
Barra do Turvo;2009;12;10;24;3.0000000000000004;24.4;18.4;20.374999999999996
Barra do Turvo;2009;12;11;24;19.799999999999997;27.2;16.6;20.93333333333333
Barra do Turvo;2009;12;12;24;12.399999999999999;25.0;19.8;21.77916666666667
Barra do Turvo;2009;12;13;24;1.4000000000000001;22.9;16.6;19.075000000000003
Barra do Turvo;2009;12;14;24;0.0;24.2;12.2;17.870833333333337
Barra do Turvo;2009;12;15;24;0.0;27.2;14.5;20.612499999999997
Barra do Turvo;2009;12;16;24;0.0;27.9;15.2;21.191666666666666
Barra do Turvo;2009;12;17;24;26.8;26.8;17.0;20.2125
Barra do Turvo;2009;12;18;24;9.400000000000002;23.9;17.9;19.6375
Barra do Turvo;2009;12;19;24;0.8;26.6;15.0;20.10833333333333
Barra do Turvo;2009;12;2;24;0.0;30.3;0.0;23.200000000000003
Barra do Turvo;2009;12;20;24;0.0;28.6;13.0;20.2
Barra do Turvo;2009;12;21;24;0.0;31.0;17.1;23.5125
Barra do Turvo;2009;12;22;24;0.0;28.9;18.6;22.708333333333332
Barra do Turvo;2009;12;23;24;0.0;27.8;16.9;22.33333333333334
Barra do Turvo;2009;12;24;24;1.4;27.6;18.7;22.566666666666663
Barra do Turvo;2009;12;25;24;5.8;28.3;19.4;22.925
Barra do Turvo;2009;12;26;24;16.8;28.8;20.3;23.574999999999992
Barra do Turvo;2009;12;27;24;15.600000000000001;29.2;21.0;22.891666666666666
Barra do Turvo;2009;12;28;24;0.2;27.3;19.5;22.462500000000002
Barra do Turvo;2009;12;29;24;0.2;30.7;19.9;24.187500000000004
Barra do Turvo;2009;12;3;24;1.2;28.6;17.9;22.599999999999998
Barra do Turvo;2009;12;30;24;8.8;31.0;19.0;24.25833333333333
Barra do Turvo;2009;12;31;24;46.2;24.8;20.3;21.516666666666666
Barra do Turvo;2009;12;4;24;9.200000000000001;20.9;16.4;18.133333333333336
Barra do Turvo;2009;12;5;24;3.600000000000001;21.8;15.7;17.433333333333334
Barra do Turvo;2009;12;6;24;0.6000000000000001;24.0;16.5;19.325000000000003
Barra do Turvo;2009;12;7;24;9.2;21.6;17.7;18.879166666666666
Barra do Turvo;2009;12;8;24;2.1999999999999997;22.5;16.8;18.912499999999998
Barra do Turvo;2009;12;9;24;8.2;23.0;18.0;19.34583333333333
Barra do Turvo;2009;2;1;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;10;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;11;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;12;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;13;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;14;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;15;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;16;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;17;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;18;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;19;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;2;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;20;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;21;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;22;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;23;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;24;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;25;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;26;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;27;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;28;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;3;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;4;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;5;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;6;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;7;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;8;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;2;9;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;1;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;10;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;11;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;12;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;13;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;14;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;15;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;16;24;0.0;0.0;0.0;0.0
Barra do Turvo;2009;3;17;24;0.0;0.0;0.0;0.0
